Date,Track URL,Position,Track Name,Artist,Streams,Country
2/23/2018,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,1,Amorfoda,Bad Bunny,8401,Nicaragua
6/8/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,20553,Honduras
7/1/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,403778,Chile
6/21/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,493114,Chile
6/19/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,528469,Spain
6/24/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,54080,Paraguay
6/7/2019,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,1,Callaita,Bad Bunny,6737,Nicaragua
7/2/2018,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn,1,Estamos Bien,Bad Bunny,21901,Dominican Republic
12/18/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,12440,Panama
12/1/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,18345,Guatemala
11/9/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,20085,Guatemala
10/17/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,23941,Panama
10/12/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,39076,Dominican Republic
12/1/2018,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1,MIA (feat. Drake),Bad Bunny,9162,El Salvador
12/11/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,11984,Dominican Republic
12/2/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,13143,Panama
12/30/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,13330,Dominican Republic
12/4/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,21599,Paraguay
12/13/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,7032,El Salvador
12/21/2017,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,7395,El Salvador
1/10/2018,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1,Sensualidad,Bad Bunny,9811,Panama
12/21/2018,https://open.spotify.com/track/5YOkA7qd2983FtBQnP8sYx,1,Solo de Mi,Bad Bunny,18335,Dominican Republic
1/4/2017,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,1,Soy Peor,Bad Bunny,8522,Dominican Republic
1/9/2017,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,1,Soy Peor,Bad Bunny,8982,Dominican Republic
5/17/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,104828,Poland
4/3/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,11165,Lithuania
4/17/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,11608,Romania
4/21/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,14586,Hungary
5/9/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,16460,Hungary
6/8/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,245264,Australia
5/5/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,29418,Switzerland
4/5/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,294957,Canada
5/5/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,298894,Australia
6/2/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,4788,Latvia
5/5/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,4820583,Global
6/1/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,5428,Latvia
5/9/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,5526417,Global
4/20/2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1,bad guy,Billie Eilish,5552362,Global
